,0,1
0,Arthur Schnitzler.,"{'entities': [(0, 17, 'PER')]}"
1,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2,"Berlin, 1893","{'entities': [(0, 6, 'LOC')]}"
3,. Verlag des Bibliographiſchen Bureaus.,"{'entities': [(13, 38, 'LOC')]}"
4,Alexanderſtraße 2.,"{'entities': [(0, 15, 'LOC')]}"
5,Die in dieſem Buche geſammelten Einacter ſind den Bühnen gegenüber Manuſcript.,"{'entities': [(32, 40, 'LOC')]}"
6,Alle Rechte vorbehalten.,{'entities': []}
7,Inhalt,{'entities': []}
8,.,{'entities': []}
9,Seite,{'entities': []}
10,Einleitung,{'entities': []}
11,.,{'entities': []}
12,Von Loris 1,"{'entities': [(4, 9, 'PER')]}"
13,Die Frage an das Schickſal 7 Weihnachtseinkäufe 27 Epiſode,"{'entities': [(17, 26, 'LOC')]}"
14,43 Denkſteine 65 Abſchiedsſouper 75 Agonie 97 Anatols Hochzeitsmorgen 113 Einleitung.,"{'entities': [(46, 69, 'LOC')]}"
15,"Hohe Gitter, Taxushecken, Wappen nimmermehr vergoldet","{'entities': [(0, 11, 'MISC')]}"
16,"Sphinxe, durch das Dickicht ſchimmernd…… Knarrend öffnen ſich die Thore.","{'entities': [(0, 7, 'PER'), (19, 27, 'MISC'), (38, 40, 'MISC')]}"
17,—,{'entities': []}
18,"Mit verſchlafenen Cascaden Und verſchlafenen Tritonen, Rococco, verſtaubt und lieblich Seht… das Wien des Canaletto, Wien von Siebzehnhundertſechzig…… Grüne, braune, ſtille Teiche, Glatt und marmorweiß umrandet, In dem Spiegelbild der Nixen Spielen Gold- und Silberfiſche…","{'entities': [(91, 92, 'PER'), (97, 101, 'LOC'), (106, 115, 'LOC'), (117, 121, 'LOC'), (126, 156, 'ORG'), (235, 272, 'ORG')]}"
19,Auf dem glattgeſchor’nen Raſen Liegen zierlich gleiche Schatten Schlanker Oleanderſtämme;,"{'entities': [(25, 37, 'ORG'), (64, 88, 'PER')]}"
20,"Zweige wölben ſich zur Kuppel, Zweige neigen ſich zur Niſche",{'entities': []}
21,Für die ſteifen Liebespaare Heroinen und Heroen…,"{'entities': [(16, 36, 'LOC')]}"
22,Drei Delphine gießen murmelnd Fluthen in ein Muſchelbecken…,"{'entities': [(0, 13, 'MISC'), (30, 37, 'MISC'), (58, 59, 'MISC')]}"
23,"Duftige Kaſtanienblüten Gleiten, ſchwirren leuchtend nieder Und ertrinken in dem Becken……","{'entities': [(81, 89, 'LOC')]}"
24,"Hinter einer Taxusmauer Tönen Geigen, Clarinetten…, Und ſie ſcheinen den graziöſen Amoretten zu entſtrömen, Die rings auf der Rampe ſitzen Fiedelnd oder Blumen windend, Selbſt von Blumen bunt umgeben Die aus Marmorvaſen ſtrömen:","{'entities': [(108, 131, 'MISC'), (169, 175, 'PER'), (200, 219, 'MISC')]}"
25,Goldlack und Jasmin und Flieder..,"{'entities': [(0, 8, 'PER'), (13, 19, 'PER'), (24, 31, 'MISC')]}"
26,…,"{'entities': [(0, 1, 'MISC')]}"
27,"Auf der Rampe, zwiſchen ihnen Sitzen auch coquette Frauen, Violette Monſignori…","{'entities': [(59, 78, 'PER')]}"
28,"Und im Gras, zu ihren Füßen Und auf Polſtern, auf den Stufen: Cavaliere und Abbati… And’re heben and’re Frauen Aus den parfümirten Sänften……","{'entities': [(36, 44, 'LOC'), (76, 82, 'LOC'), (84, 90, 'PER')]}"
29,"Durch die Zweige brechen Lichter, Flimmernd auf den blonden Köpfchen;","{'entities': [(34, 43, 'MISC')]}"
30,"Scheinen auf den bunten Polſtern, Gleiten über Kies und Raſen Gleiten über das Gerüſte, Das wir flüchtig aufgeſchlagen.","{'entities': [(24, 32, 'MISC'), (47, 51, 'MISC'), (56, 61, 'LOC'), (88, 118, 'MISC')]}"
31,Wein und Winde klettert aufwärts Und umhüllt die lichten Balken.,"{'entities': [(57, 63, 'ORG')]}"
32,"Und dazwiſchen, farbenüppig Flattert Teppich und Tapete, Schäferſcenen, keck gewoben Zierlich von Watteau entworfen…","{'entities': [(28, 44, 'PER'), (57, 70, 'PER'), (98, 105, 'PER'), (115, 116, 'PER')]}"
33,"Eine Laube ſtatt der Bühne, Sommerſonne ſtatt der Lampen, Alſo ſpielen wir Theater, Spielen unſ’re eig’nen Stücke, Frühgereift und zart und traurig, Die Komödie unſ’rer Seele, Unſ’ res Fühlen’s Heut’ und Geſtern, Böſer Dinge hübſche Formel, Glatte Worte, bunte Bilder Halbes, heimliches Empfinden, Agonien, Epiſoden…","{'entities': [(50, 56, 'LOC'), (58, 62, 'LOC'), (115, 126, 'MISC'), (149, 174, 'MISC'), (213, 224, 'PER'), (241, 253, 'PER'), (268, 274, 'PER')]}"
34,"Manche hören zu, nicht Alle… Manche träumen, manche lachen, Manche eſſen Eis… und manche Sprechen ſehr galante Dinge……","{'entities': [(76, 77, 'MISC'), (111, 118, 'MISC')]}"
35,"Nelken wiegen ſich im Winde, Hochgeſtielte, weiße Nelken Wie ein Schwarm von weißen Faltern…",{'entities': []}
36,Und ein Bologneſerhündchen Bellt verwundert einen Pfau an… Herbſt 1892.,"{'entities': [(27, 32, 'PER'), (57, 65, 'PER')]}"
37,Loris.,"{'entities': [(0, 5, 'PER')]}"
38,Die Frage an das Schickſal.,"{'entities': [(17, 26, 'LOC')]}"
39,Perſonen: Anatol.,"{'entities': [(10, 16, 'MISC')]}"
40,Max,"{'entities': [(0, 3, 'PER')]}"
41,. Cora.,"{'entities': [(2, 6, 'LOC')]}"
42,Anatols Zimmer. Max.,"{'entities': [(0, 14, 'PER'), (16, 19, 'PER')]}"
43,"Wahrhaftig, Anatol, ich beneide Dich… Anatol (lächelt).","{'entities': [(12, 18, 'MISC'), (32, 44, 'MISC')]}"
44,Max.,"{'entities': [(0, 3, 'MISC')]}"
45,"Nun, ich muß Dir ſagen, ich war erſtarrt.",{'entities': []}
46,Ich habe ja doch bisher das Ganze für ein Märchen gehalten.,{'entities': []}
47,"Wie ich das nun aber ſah,… wie ſie vor meinen Augen einſchlief… wie ſie tanzte, als Du ihr ſagteſt, ſie ſei eine Ballerine, und wie ſie weinte, als Du ihr ſagteſt, ihr Geliebter ſei geſtorben, und wie ſie einen Verbrecher begnadigte, als Du ſie zur Königin machteſt… Anatol.","{'entities': [(25, 26, 'MISC'), (62, 63, 'MISC'), (238, 273, 'MISC')]}"
48,"Ja, ja. Max.","{'entities': [(8, 11, 'PER')]}"
49,"Ich ſehe, es ſteckt ein Zauberer in Dir!","{'entities': [(36, 40, 'ORG')]}"
50,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
51,In uns allen!,{'entities': []}
52,Max,"{'entities': [(0, 3, 'PER')]}"
53,.,{'entities': []}
54,Unheimlich,{'entities': []}
55,! Anatol.,"{'entities': [(2, 8, 'MISC')]}"
56,Das kann ich nicht finden… Nicht unheimlicher als das Leben ſelbſt.,"{'entities': [(25, 59, 'MISC')]}"
57,"Nicht unheimlicher, als Vieles, auf das man erſt im Laufe der Jahrhunderte gekommen.","{'entities': [(24, 30, 'LOC')]}"
58,"Wie, glaubſt Du wohl, war unſeren Voreltern zu Muthe, als ſie plötzlich hörten, die Erde drehe ſich?","{'entities': [(13, 15, 'PER'), (47, 52, 'LOC'), (84, 88, 'LOC')]}"
59,Sie müſſen,{'entities': []}
60,Alle ſchwindlig geworden ſein:,{'entities': []}
61,Max.,"{'entities': [(0, 3, 'MISC')]}"
62,Ja… aber es bezog ſich auf Alle! Anatol.,"{'entities': [(33, 39, 'MISC')]}"
63,Und wenn man den Frühling neu entdeckte!,{'entities': []}
64,… Man würde auch an ihn nicht glauben!,"{'entities': [(0, 5, 'PER')]}"
65,"Trotz der grünen Bäume, trotz der blühenden Blumen und trotz der Liebe.",{'entities': []}
66,Max.,"{'entities': [(0, 3, 'MISC')]}"
67,Du verirrſt Dich;,"{'entities': [(0, 16, 'MISC')]}"
68,all’ das iſt Gefaſel.,{'entities': []}
69,Mit dem Magnetismus… Anatol.,"{'entities': [(21, 27, 'MISC')]}"
70,Hypnotismus…,{'entities': []}
71,Max.,"{'entities': [(0, 3, 'MISC')]}"
72,"Nein, mit dem iſt’s ein ander Ding.",{'entities': []}
73,Nie und nimmer würde ich mich hypnotiſiren laſſen.,"{'entities': [(0, 3, 'PER')]}"
74,— Anatol.,"{'entities': [(2, 8, 'MISC')]}"
75,Kindiſch!,"{'entities': [(0, 9, 'ORG')]}"
76,"Was iſt daran, wenn ich Dich einſchlafen heiße, und Du legſt Dich ruhig hin.","{'entities': [(24, 28, 'LOC'), (52, 65, 'MISC')]}"
77,Max.,"{'entities': [(0, 3, 'MISC')]}"
78,"Ja, und dann ſagſt Du mir:","{'entities': [(19, 25, 'MISC')]}"
79,"„Sie ſind ein Rauchfangkehrer“, und ich ſteige in den Kamin und werde rußig!… Anatol.","{'entities': [(78, 84, 'MISC')]}"
80,"Nun, das ſind ja Scherze…",{'entities': []}
81,Das Große an der Sache iſt die wiſſenſchaftliche Verwerthung.,{'entities': []}
82,—,{'entities': []}
83,"Aber ach, allzuweit ſind wir ja doch nicht.",{'entities': []}
84,Max,"{'entities': [(0, 3, 'PER')]}"
85,. Wieſo…? Anatol.,"{'entities': [(2, 7, 'PER'), (7, 8, 'MISC'), (10, 16, 'MISC')]}"
86,"Nun, ich, der jenes Mädchen heute in hundert andere Welten verſetzen konnte, wie bring’ ich mich ſelbſt in eine andere?","{'entities': [(81, 87, 'LOC')]}"
87,Max.,"{'entities': [(0, 3, 'MISC')]}"
88,Iſt das nicht möglich?,{'entities': []}
89,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
90,"Ich hab’ es ſchon verſucht, um die Wahrheit zu ſagen.",{'entities': []}
91,Ich habe dieſen Brillantring minutenlang angeſtarrt und habe mir ſelbſt die Idee eingegeben: Anatol! ſchlafe ein!,"{'entities': [(16, 28, 'MISC'), (93, 99, 'MISC'), (101, 108, 'MISC')]}"
92,"Wenn Du aufwachſt, wird der Gedanke an… ach an jenes Weib, das Dich wahnſinnig macht, aus Deinem Herzen geſchwunden ſein.","{'entities': [(38, 39, 'MISC'), (90, 96, 'LOC')]}"
93,Max.,"{'entities': [(0, 3, 'MISC')]}"
94,"Nun, als Du aufwachteſt?","{'entities': [(9, 11, 'MISC')]}"
95,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
96,"Oh, ich ſchlief gar nicht ein.",{'entities': []}
97,Max.,"{'entities': [(0, 3, 'MISC')]}"
98,Jenes Weib… jenes Weib?,"{'entities': [(0, 11, 'PER')]}"
99,… Alſo noch immer!,"{'entities': [(0, 6, 'PER')]}"
100,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
101,"Ja, mein Freund!",{'entities': []}
102,… noch immer!,"{'entities': [(0, 1, 'PER')]}"
103,"Ich bin unglücklich, bin toll.","{'entities': [(0, 24, 'MISC')]}"
104,Max.,"{'entities': [(0, 3, 'MISC')]}"
105,Noch immer alſo… im Zweifel?,"{'entities': [(20, 27, 'LOC')]}"
106,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
107,Nein… nicht im Zweifel.,{'entities': []}
108,"Ich weiß, daß ſie mich betrügt!",{'entities': []}
109,"Während ſie an meinen Lippen hängt, während ſie mir die Haare ſtreichelt… während wir ſelig ſind… weiß ich, daß ſie mich betrügt.","{'entities': [(22, 28, 'LOC'), (72, 73, 'PER'), (96, 97, 'MISC')]}"
110,Max.,"{'entities': [(0, 3, 'MISC')]}"
111,Wahn!,"{'entities': [(0, 5, 'ORG')]}"
112,Anatol,"{'entities': [(0, 6, 'MISC')]}"
113,.,{'entities': []}
114,Nein,{'entities': []}
115,!,{'entities': []}
116,Max.,"{'entities': [(0, 3, 'MISC')]}"
117,Und Deine Beweiſe… Anatol.,"{'entities': [(4, 17, 'PER')]}"
118,Ich ahne es… ich fühle es…,"{'entities': [(11, 12, 'MISC'), (25, 26, 'MISC')]}"
119,darum weiß ich es!,{'entities': []}
120,Max. Sonderbare Logik!,"{'entities': [(0, 3, 'MISC'), (5, 22, 'ORG')]}"
121,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
122,Immer ſind dieſe Frauenzimmer uns untreu.,"{'entities': [(17, 29, 'PER')]}"
123,Es iſt ihnen ganz natürlich… ſie wiſſen es gar nicht…,"{'entities': [(27, 28, 'MISC'), (52, 53, 'MISC')]}"
124,"So wie ich zwei oder drei Bücher zugleich leſen muß, müſſen dieſe Weiber zwei oder drei Liebſchaften haben.",{'entities': []}
125,Max.,"{'entities': [(0, 3, 'MISC')]}"
126,Sie liebt Dich doch?,"{'entities': [(10, 14, 'LOC')]}"
127,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
128,Unendlich…,{'entities': []}
129,Aber das iſt gleichgiltig.,{'entities': []}
130,Sie iſt mir untreu.,{'entities': []}
131,Max.,"{'entities': [(0, 3, 'MISC')]}"
132,Und mit wem?,{'entities': []}
133,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
134,Weiß,{'entities': []}
135,ich’s?,{'entities': []}
136,"Vielleicht mit einem Fürſten, der ihr auf der Straße nachgegangen, vielleicht mit einem Poëten aus einem Vorſtadthauſe, der ihr vom Fenſter aus zugelächelt hat, als ſie in der Früh vorbei ging!","{'entities': [(46, 52, 'LOC')]}"
137,Max.,"{'entities': [(0, 3, 'MISC')]}"
138,Du biſt ein Narr!,"{'entities': [(12, 17, 'ORG')]}"
139,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
140,"Und was für einen Grund hätte ſie, mir nicht untreu zu ſein?",{'entities': []}
141,"Sie iſt wie jede, liebt das Leben, und denkt nicht nach.",{'entities': []}
142,Wenn ich ſie frage: Liebſt Du mich?,"{'entities': [(20, 29, 'LOC')]}"
143,"— ſo ſagt ſie ja— und ſpricht die Wahrheit; und wenn ich ſie frage, biſt Du mir treu, ſo ſagt ſie wieder ja— und wieder ſpricht ſie die Wahrheit, weil ſie ſich gar nicht an die Andern erinnert— in dem Augenblick wenigſtens.","{'entities': [(14, 17, 'PER'), (73, 84, 'MISC'), (177, 183, 'MISC'), (201, 211, 'MISC')]}"
144,"Und dann, hat Dir je Eine geantwortet:","{'entities': [(14, 17, 'PER')]}"
145,"Mein lieber Freund, ich bin Dir untreu?","{'entities': [(0, 18, 'MISC'), (28, 31, 'PER')]}"
146,Woher ſoll man alſo die Gewißheit nehmen?,{'entities': []}
147,Und wenn ſie mir treu iſt— Max.,"{'entities': [(22, 30, 'PER')]}"
148,Alſo doch!— Anatol.,"{'entities': [(0, 18, 'MISC')]}"
149,So iſt es der reine Zufall… Keineswegs denkt ſie:,"{'entities': [(26, 38, 'LOC')]}"
150,"Oh ich muß ihm die Treue halten, meinem lieben Anatol… keineswegs","{'entities': [(47, 54, 'MISC')]}"
151,… Max.,"{'entities': [(2, 5, 'PER')]}"
152,Aber wenn ſie Dich liebt?,"{'entities': [(14, 18, 'PER')]}"
153,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
154,"O, mein naiver Freund! wenn das ein Grund wäre!",{'entities': []}
155,Max.,"{'entities': [(0, 3, 'MISC')]}"
156,Nun?,{'entities': []}
157,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
158,Warum bin ich ihr nicht treu?,{'entities': []}
